10 , 0.1879704 ,0.16697407
30 ,0.5198071 ,0.36594009
50 ,0.80582094,0.65694427
70 ,1.14118624,0.90776467
90 ,1.38489938,1.16981554
110 ,1.68878865,1.40577722
130 ,2.09059572,1.7500627 
150 ,2.174968  ,2.43126273
170 ,2.66612458, 2.6494863 
190 ,2.98465061,3.21927595
210 ,3.12161851,2.98952818
230 ,3.51332021,3.32347226
250 ,3.8144362 ,3.46945143
270 ,4.65143275,3.76540399
290 ,7.10720468,4.00836468
310 ,7.98209405,4.25133038
330 ,6.24328828,5.23232651
350 ,6.04695296,4.88286495
370 ,7.07021689,5.06292462
390 ,6.63494968,5.6360271 
410,6.98490095,5.76008701
430 ,7.48774242,6.11081624
450 ,8.36393332,7.75678182
470 ,8.26938152,8.33048677
490 ,8.91005492,8.44030881

